i,t
36,0.006
99,0.0145
84,0.037
28,0.0475
75,0.053
98,0.063
26,0.07200000000000001
73,0.0725
19,0.0745
43,0.0985
84,0.1165
11,0.11800000000000001
55,0.11900000000000001
12,0.12
13,0.122
14,0.124
15,0.126
59,0.126
16,0.128
17,0.13
4,0.1315
18,0.132
49,0.1325
19,0.134
20,0.136
67,0.1405
76,0.1465
99,0.1615
65,0.168
83,0.1715
41,0.183
71,0.20700000000000002
5,0.2085
1,0.2415
11,0.245
12,0.247
13,0.249
98,0.2505
14,0.251
84,0.2525
15,0.253
16,0.255
17,0.257
18,0.259
8,0.261
19,0.261
97,0.2625
20,0.263
89,0.2655
30,0.268
33,0.2705
83,0.2725
4,0.2975
55,0.3215
98,0.34550000000000003
32,0.3545
66,0.373
41,0.3765
33,0.3785
83,0.386
22,0.422
26,0.4285
89,0.43
68,0.432
51,0.434
98,0.438
35,0.4445
49,0.4545
17,0.4555
8,0.4565
53,0.47450000000000003
71,0.47700000000000004
56,0.4805
59,0.4915
45,0.4945
88,0.503
63,0.528
98,0.5365
83,0.5635
54,0.5825
64,0.592
64,0.596
33,0.6045
99,0.606
40,0.607
8,0.6145
61,0.615
23,0.6155
98,0.625
0,0.6325000000000001
56,0.635
18,0.6395000000000001
45,0.647
83,0.663
31,0.669
43,0.68
77,0.682
43,0.6835
32,0.686
39,0.686
33,0.6950000000000001
34,0.6960000000000001
35,0.6960000000000001
36,0.7000000000000001
13,0.7035
37,0.709
38,0.716
74,0.716
38,0.719
89,0.7225
39,0.724
7,0.725
40,0.728
84,0.7495
99,0.752
20,0.7525000000000001
10,0.767
98,0.767
2,0.7715
5,0.7745
18,0.784
59,0.797
30,0.8085
58,0.8170000000000001
99,0.8285
83,0.838
75,0.8415
12,0.844
44,0.8515
55,0.8575
25,0.8735
77,0.8785000000000001
51,0.89
98,0.9035
50,0.9065
35,0.908
84,0.908
99,0.924
18,0.9325
61,0.937
83,0.9540000000000001
54,0.967
33,0.9745
14,0.9885
84,0.995
98,0.9975
36,1.0045
52,1.0135
58,1.039
61,1.0455
31,1.0485
53,1.053
28,1.0545
48,1.055
25,1.0565
27,1.0665
80,1.0695000000000001
83,1.0725
96,1.0755000000000001
16,1.076
9,1.0895
49,1.0895
29,1.0915
69,1.1155
36,1.124
99,1.125
47,1.127
54,1.1460000000000001
73,1.147
28,1.1515
76,1.1625
20,1.171
70,1.1725
34,1.175
79,1.18
98,1.2035
84,1.205
75,1.206
83,1.211
24,1.218
99,1.235
38,1.2530000000000001
9,1.254
60,1.254
33,1.2570000000000001
89,1.2635
17,1.278
48,1.2965
5,1.301
98,1.317
10,1.3255000000000001
83,1.339
99,1.3485
68,1.3575
76,1.36
39,1.377
51,1.383
12,1.3855
50,1.3885
12,1.3900000000000001
52,1.397
53,1.4040000000000001
11,1.4115
54,1.416
55,1.417
27,1.421
56,1.429
57,1.43
58,1.431
24,1.433
59,1.435
99,1.435
88,1.4365
75,1.443
14,1.4465000000000001
60,1.449
57,1.4675
51,1.49
84,1.495
20,1.4965
26,1.498
17,1.5035
52,1.504
53,1.5110000000000001
31,1.5150000000000001
74,1.5175
21,1.518
83,1.5225
54,1.5230000000000001
55,1.524
48,1.5305
56,1.536
57,1.537
58,1.538
59,1.542
51,1.547
46,1.5555
60,1.556
52,1.561
4,1.5625
53,1.568
98,1.5725
54,1.58
55,1.581
13,1.5885
69,1.5895000000000001
16,1.59
23,1.592
56,1.593
57,1.594
58,1.595
59,1.599
65,1.6065
99,1.6125
60,1.613
37,1.614
9,1.6315
79,1.633
42,1.6360000000000001
90,1.6500000000000001
83,1.6615
74,1.6745
98,1.688
99,1.692
44,1.695
62,1.7015
68,1.7055
53,1.706
83,1.7515
51,1.7615
59,1.7635
29,1.7705
99,1.79
1,1.793
17,1.795
2,1.796
31,1.7965
3,1.798
34,1.8015
5,1.8035
26,1.8035
4,1.81
67,1.811
43,1.8125
5,1.813
6,1.814
33,1.816
7,1.817
53,1.8225
8,1.825
15,1.835
9,1.842
10,1.847
41,1.8485
98,1.8565
44,1.8605
19,1.8725
39,1.8960000000000001
64,1.8965
11,1.9035
74,1.913
30,1.9160000000000001
29,1.9165
25,1.9235
83,1.929
99,1.931
98,1.9375
70,1.964
43,1.9655
38,1.967
65,1.968
38,1.9715
17,1.9805000000000001
53,1.9875
18,1.988
84,1.9985
60,2.0015
78,2.0045
40,2.0155
88,2.0155
68,2.017
75,2.0195
20,2.0435
44,2.047
52,2.0605
83,2.087
67,2.0875
58,2.091
34,2.097
13,2.108
45,2.1135
98,2.1155
89,2.117
66,2.1235
55,2.1270000000000002
63,2.1270000000000002
2,2.128
84,2.1390000000000002
57,2.1455
41,2.148
53,2.1635
83,2.165
72,2.17
31,2.178
73,2.191
32,2.195
47,2.1995
70,2.2035
33,2.204
34,2.205
35,2.205
68,2.2075
36,2.209
37,2.218
38,2.225
38,2.229
40,2.2315
39,2.233
40,2.237
21,2.239
18,2.2395
54,2.242
98,2.2455
22,2.249
84,2.255
23,2.259
83,2.261
21,2.2640000000000002
24,2.269
22,2.274
25,2.279
23,2.2840000000000003
44,2.2865
26,2.289
24,2.294
27,2.299
25,2.3040000000000003
28,2.309
86,2.312
26,2.314
73,2.3155
72,2.3185000000000002
29,2.319
27,2.324
67,2.3255
49,2.326
30,2.329
28,2.334
35,2.334
55,2.3375
75,2.3435
29,2.344
46,2.344
16,2.352
30,2.354
84,2.362
69,2.374
99,2.3745
1,2.375
2,2.378
3,2.38
4,2.392
5,2.395
6,2.396
7,2.399
98,2.4010000000000002
8,2.407
70,2.4145
9,2.424
22,2.4265
10,2.4290000000000003
66,2.44
15,2.456
99,2.4575
73,2.4705
77,2.471
3,2.478
61,2.486
62,2.49
83,2.5025
79,2.508
23,2.5125
98,2.521
26,2.5295
97,2.5585
32,2.5635
42,2.575
33,2.58
66,2.5805000000000002
22,2.5885000000000002
31,2.597
80,2.6055
56,2.607
12,2.6075
99,2.608
32,2.614
33,2.623
34,2.624
35,2.624
36,2.628
51,2.6315
37,2.637
97,2.6390000000000002
38,2.644
83,2.644
38,2.652
39,2.652
30,2.6535
40,2.656
99,2.6705
7,2.673
13,2.69
84,2.7
66,2.703
66,2.7075
10,2.724
49,2.73
99,2.7305
15,2.736
0,2.742
83,2.7535
69,2.7605
47,2.7645
55,2.7695
38,2.7720000000000002
84,2.787
98,2.7885
79,2.7915
44,2.7975
4,2.801
97,2.801
17,2.8025
18,2.8085
45,2.8155
26,2.8335
80,2.835
99,2.8435
67,2.851
89,2.853
83,2.859
49,2.8605
58,2.867
56,2.8835
36,2.8895
23,2.8930000000000002
71,2.9
12,2.9045
75,2.9105
30,2.912
63,2.9255
10,2.9290000000000003
64,2.932
11,2.953
12,2.955
13,2.957
88,2.957
14,2.959
15,2.961
49,2.961
16,2.963
57,2.9635000000000002
17,2.965
83,2.965
98,2.9655
18,2.967
19,2.969
20,2.971
67,2.9725
38,2.978
60,2.9845
40,2.992
62,2.9945
39,2.998
52,3.0095
47,3.024
45,3.0285
34,3.032
84,3.033
99,3.0540000000000003
64,3.0555
76,3.057
53,3.074
68,3.077
10,3.08
44,3.101
32,3.118
19,3.129
84,3.1315
1,3.134
2,3.137
80,3.137
3,3.1390000000000002
12,3.142
99,3.1435
57,3.149
48,3.1495
4,3.1510000000000002
72,3.1525
5,3.154
64,3.1545
6,3.1550000000000002
81,3.1565
7,3.158
64,3.1605
61,3.1635
8,3.166
17,3.1665
16,3.1705
98,3.1815
9,3.1830000000000003
50,3.184
10,3.188
62,3.188
78,3.2155
23,3.223
15,3.2365
68,3.238
99,3.2505
74,3.2515
51,3.2555
58,3.2555
21,3.2600000000000002
3,3.262
22,3.27
24,3.271
47,3.2715
75,3.2725
84,3.277
23,3.2800000000000002
24,3.29
8,3.295
25,3.3000000000000003
28,3.3025
69,3.305
73,3.3065
57,3.3095
26,3.31
97,3.3115
11,3.3185000000000002
27,3.3200000000000003
7,3.3245
33,3.325
28,3.33
99,3.331
44,3.3315
98,3.3325
83,3.3385000000000002
29,3.34
42,3.346
30,3.35
14,3.353
36,3.359
0,3.369
5,3.388
13,3.3935
80,3.402
53,3.4045
8,3.408
64,3.4285
98,3.4445
37,3.4495
63,3.4645
42,3.47
99,3.482
43,3.4855
17,3.4875000000000003
43,3.49
84,3.496
